date,weekday,pax,location
19-11-2024,dinsdag,12,heer ivo zaal
19-11-2024,dinsdag,9,prinsessezaal
19-11-2025,woensdag,20,nassauzaal
19-11-2025,woensdag,10,heer ivo zaal
19-12-2024,donderdag,118,binnentuin
19-12-2025,vrijdag,65,nassauzaal
19-12-2025,vrijdag,19,nassauzaal
19-12-2025,vrijdag,30,nassauzaal
19-12-2025,vrijdag,75,extern
20-1-2025,maandag,6,prinsessezaal
20-1-2025,maandag,4,extern
20-1-2026,dinsdag,20,nassauzaal
20-2-2025,donderdag,4,heer ivo zaal
20-2-2026,vrijdag,30,nassauzaal
20-3-2025,donderdag,11,nassauzaal
20-4-2025,zondag,11,hofdame
20-5-2025,dinsdag,13,heer ivo zaal
20-5-2025,dinsdag,44,nassauzaal
20-6-2024,donderdag,17,nassauzaal
20-6-2025,vrijdag,25,nassauzaal
20-6-2025,vrijdag,4,prinsessezaal
20-9-2024,vrijdag,2,prinsessezaal
20-9-2025,zaterdag,25,extern
20-11-2024,woensdag,8,prinsessezaal
20-12-2024,vrijdag,14,hofdame
21-1-2025,dinsdag,11,heer ivo zaal
21-1-2025,dinsdag,19,nassauzaal
21-1-2025,dinsdag,6,prinsessezaal
21-1-2026,woensdag,13,nassauzaal
21-3-2026,zaterdag,25,extern
21-3-2026,zaterdag,35,hofdame
21-5-2024,dinsdag,12,nassauzaal
21-5-2024,dinsdag,8,heer ivo zaal
21-5-2024,dinsdag,6,prinsessezaal
21-5-2024,dinsdag,12,nassauzaal
21-5-2025,woensdag,31,binnentuin
21-5-2025,woensdag,8,prinsessezaal
21-5-2025,woensdag,100,extern
21-6-2024,vrijdag,50,binnentuin
21-8-2025,donderdag,77,binnentuin
21-10-2024,maandag,8,prinsessezaal
21-11-2024,donderdag,9,heer ivo zaal
21-11-2024,donderdag,10,heer ivo zaal
21-11-2024,donderdag,4,prinsessezaal
21-11-2024,donderdag,13,extern
21-11-2024,donderdag,26,nassauzaal
21-11-2025,vrijdag,100,binnentuin
21-12-2024,zaterdag,16,hofdame
22-1-2025,woensdag,19,nassauzaal
